evidence,question_code,type,question_fr,question_en,evidence_rep,meaning_fr,meaning_en
B34.9,B34.9,B,Avez-vous été infecté par un virus récemment?,Have you recently had a viral infection?,B34.9,,
H6690,H6690,B,Êtes-vous actuellement traité ou avez-vous été récemment traité avec un antibiotique pris par la bouche pour une infection de l’oreille ou une otite?,Are you currently being treated or have you recently been treated with an oral antibiotic for an ear infection?,H6690,,
HIV,HIV,B,Êtes-vous infecté par le virus de l’immunodéficience humaine ou êtes-vous séropositif?,Are you infected with the human immunodeficiency virus (HIV)?,HIV,,
I30,I30,B,Avez-vous déjà eu une péricardite?,Have you ever had a pericarditis?,I30,,
J05.0,J05.0,B,Est-ce que vous ou un membre de votre famille a déjà eu le croup?,Have you or any member of your family ever had croup?,J05.0,,
J81,J81,B,Avez-vous déjà fait de l’eau sur les poumons?,Have you ever had fluid in your lungs?,J81,,
K86.1,K86.1,B,Souffrez-vous de pancréatite chronique?,Do you have chronic pancreatitis?,K86.1,,
Mauv_aliment,Mauv_aliment,B,Avez-vous une mauvaise alimentation?,Do you have a poor diet?,Mauv_aliment,,
Z99.2,Z99.2,B,Êtes-vous dialysé?,Do you currently undergo dialysis?,Z99.2,,
adp_dlr,adp_dlr,B,Avez-vous des ganglions enflés ou douloureux?,Do you have swollen or painful lymph nodes?,adp_dlr,,
ains,ains,B,Prenez-vous ou avez-vous pris des anti-inflammatoires récemment?,Are you currently taking or have you recently taken anti-inflammatory drugs (NSAIDs)?,ains,,
allait_prol,allait_prol,B,Avez-vous allaité plus de 9 mois un de vos enfants?,Have you breastfed one of your children for more than 9 months?,allait_prol,,
allergie_sev,allergie_sev,B,Avez-vous un allergie alimentaire connue et sévère?,Do you have a known severe food allergy?,allergie_sev,,
angor_accelere,angor_accelere,B,Trouvez-vous que vos symptômes sont pires depuis environ 2 semaines et que de moins en moins d’effort provoquent les symptômes?,Do you find that your symptoms have worsened over the last 2 weeks and that progressively less effort is required to cause the symptoms?,angor_accelere,,
angor_repos,angor_repos,B,Avez-vous des douleurs au thorax même au repos?,Do you have chest pain even at rest?,angor_repos,,
antipsy_récent,antipsy_récent,B,Avez-vous pris ou commencer un antipsychotique dans les derniers 7 jours?,Have you started or taken any antipsychotic medication within the last 7 days?,antipsy_récent,,
anxiete_s,anxiete_s,B,"Ressentez-vous une certaine anxiété, une fébrilité?",Do you feel anxious?,anxiete_s,,
ap_asian,ap_asian,B,Avez-vous des origines asiatiques?,Are you of Asian descent?,ap_asian,,
ap_fk,ap_fk,B,Êtes-vous atteint par la fibrose kystique?,Do you have cystic fibrosis?,ap_fk,,
ap_hypert4,ap_hypert4,B,Êtes-vous connu pour de l’hyperthyroïdie?,Have you been diagnosed with hyperthyroidism?,ap_hypert4,,
ap_par,ap_par,B,Souffrez-vous d’arthrite rhumatoïde?,Do you have Rheumatoid Arthritis?,ap_par,,
ap_pneumothorax,ap_pneumothorax,B,Avez vous déjà fait un pneumothorax spontané?,Have you ever had a spontaneous pneumothorax?,ap_pneumothorax,,
ap_valve,ap_valve,B,Êtes-vous connu pour un problème au niveau d’une valve cardiaque?,Do you have a known issue with one of your heart valves?,ap_valve,,
apnee,apnee,B,Faites-vous des pauses respiratoires durant votre sommeil?,Do you ever temporarily stop breathing while you’re asleep?,apnee,,
atcd_anem,atcd_anem,B,Avez-vous déjà eu un diagnostic d’anémie?,Have you ever had a diagnosis of anemia?,atcd_anem,,
atcd_cluster,atcd_cluster,B,Avez-vous des membres de votre famille qui ont déjà été diagnostiqué avec des céphalée en grappes?,Have any of your family members been diagnosed with cluster headaches?,atcd_cluster,,
atcd_fam_anem,atcd_fam_anem,B,Avez-vous des membres de votre famille qui ont déjà eu un diagnostic d’anémie?,Do you have any family members who have been diagnosed with anemia?,atcd_fam_anem,,
atcd_its,atcd_its,B,Avez-vous déjà eu une infection transmise sexuellement?,Have you ever had a sexually transmitted infection?,atcd_its,,
atcdfam_mg,atcdfam_mg,B,Avez-vous des membres de votre famille qui ont la myasthénie grave?,Are there any members of your family who have been diagnosed myasthenia gravis?,atcdfam_mg,,
atcdpsyfam,atcdpsyfam,B,Avez-vous des membres de votre famille proche qui ont eu une maladie psychiatrique?,Do any members of your immediate family have a psychiatric illness?,atcdpsyfam,,
ballon_abdo,ballon_abdo,B,Ressentez-vous un ballonnement abdominal ou un gonflement de votre ventre?,Do you feel your abdomen is bloated or distended (swollen due to pressure from inside)?,ballon_abdo,,
bode,bode,B,Êtes-vous considéré comme une personne ayant une maladie pulmonaire obstructive chronique sévère?,Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,bode,,
boire_ped,boire_ped,B,Avez-vous une diminution de l’appétit ou des boires?,Do you have a decrease in appetite?,boire_ped,,
bw_bending,bw_bending,B,Avez-vous une douleur qui s’améliore lorsque vous penchez votre corps vers l’avant?,Do you have pain that improves when you lean forward?,bw_bending,,
c00-d48,c00-d48,B,Avez-vous un cancer actif?,Do you have an active cancer?,c00-d48,,
cafe,cafe,B,Buvez-vous régulièrement du café ou du thé?,Do you regularly drink coffee or tea?,cafe,,
cancer_méta,cancer méta,B,Avez-vous un cancer métastatique?,Do you have metastatic cancer?,cancer_méta,,
claud_mâchoire,claud_mâchoire,B,Avez-vous des douleurs ou une faiblesse au niveau de la mâchoire?,Do you have pain or weakness in your jaw?,claud_mâchoire,,
confusion,confusion,B,Vous sentez-vous confus ou mélangé?,Have you felt confused or disorientated lately?,confusion,,
cont_coq,cont_coq,B,Avez-vous été en contact avec quelqu’un qui a eu la coqueluche?,Have you been in contact with someone who has had pertussis (whoooping cough)?,cont_coq,,
contact,contact,B,"Avez-vous été en contact avec une autre personne qui présentait des symptômes similaires, dans les 2 dernières semaines?",Have you been in contact with a person with similar symptoms in the past 2 weeks?,contact,,
contact_allergie,contact_allergie,B,Avez-vous été en contact ou mangé une chose à laquelle vous avez une allergie?,Have you been in contact with or ate something that you have an allergy to?,contact_allergie,,
convulsion,convulsion,B,Avez-vous eu une épisode de perte de conscience avec des contractions violentes et soutenues d’un ou de plusieurs muscles de votre corps ou une période d'absence?,Have you lost consciousness associated with violent and sustained muscle contractions or had an absence episode?,convulsion,,
cortico,cortico,B,Prenez-vous des corticostéroïdes?,Do you take corticosteroids?,cortico,,
crach_sg,crach_sg,B,Avez-vous visualisé du sang dans vos crachats?,Have you been coughing up blood?,crach_sg,,
criseasthm,criseasthm,B,Avez-vous fait 2 crises d’asthme ou plus dans la dernière année?,Have you had 2 or more asthma attacks in the past year?,criseasthm,,
crohn_cu,crohn_cu,B,Souffrez-vous de la maladie de Crohn ou de la colite ulcéreuse?,Do you suffer from Crohn’s disease or ulcerative colitis (UC)?,crohn_cu,,
crowd,crowd,B,Habitez-vous avec 4 personnes ou plus?,Do you live with 4 or more people?,crowd,,
dayc,dayc,B,Fréquentez-vous ou travaillez-vous dans une garderie?,Do you attend or work in a daycare?,dayc,,
diaph,diaph,B,Avez-vous eu des sueurs importantes?,Have you had significantly increased sweating?,diaph,,
diarrhee,diarrhee,B,Avez-vous eu des diarrhées ou une augmentation de la fréquence de vos selles?,Have you had diarrhea or an increase in stool frequency?,diarrhee,,
diplopie,diplopie,B,Avez-vous l’impression de voir double ou de voir simultanément 2 images semblables?,Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,diplopie,,
douleurxx,douleurxx,B,Avez-vous de la douleur à quelque part en lien avec votre raison de consultation?,"Do you have pain somewhere, related to your reason for consulting?",douleurxx,,
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_NA,NA,NA
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_déchirante,déchirante,heartbreaking
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_lancinante_/_choc_électrique,lancinante,haunting
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_pénible,pénible,tedious
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_sensible,sensible,sensitive
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_un_coup_de_couteau,un coup de couteau,a knife stroke
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_un_tiraillement,un tiraillement,tugging
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_une_brûlure_ou_chaleur,une brûlure,burning
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_une_crampe,une crampe,a cramp
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_une_lourdeur_ou_serrement,une lourdeur,heavy
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_une_pulsation,une pulsation,a pulse
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_violente,violente,violent
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_vive,vive,sharp
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_écoeurante,écoeurante,sickening
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_épeurante,épeurante,scary
douleurxx_carac,douleurxx,M,Caractérisez votre douleur:,Characterize your pain:,douleurxx_carac_@_épuisante,épuisante,exhausting
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_aisselle_D_,aisselle(D),axilla(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_amygdale_D_,amygdale(D),tonsil(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_amygdale_G_,amygdale(G),tonsil(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_arrière_de_la_cheville_D_,arrière de la cheville(D),posterior aspect of the ankle(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_arrière_de_la_cheville_G_,arrière de la cheville(G),posterior aspect of the ankle(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_arrière_de_tête,arrière de tête,back of head
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_arrière_du_cou,arrière du cou,back of the neck
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_bas_du_thorax,bas du thorax,lower chest
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_biceps_D_,biceps(D),biceps(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_biceps_G_,biceps(G),biceps(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_bouche,bouche,mouth
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_cartilage_thyroidien,cartilage thyroidien,thyroid cartilage
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_cheville_D_,cheville(D),ankle(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_cheville_G_,cheville(G),ankle(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_colonne_cervicale,colonne cervicale,cervical spine
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_colonne_dorsale,colonne dorsale,thoracic spine
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_coté_lateral_du_pied_D_,coté lateral du pied(D),lateral side of the foot(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_coté_lateral_du_pied_G_,coté lateral du pied(G),lateral side of the foot(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_coude_D_,coude(D),elbow(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_coude_G_,coude(G),elbow(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_creux_poplité_D_,creux poplité(D),popliteal fossa(R)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_creux_poplité_G_,creux poplité(G),popliteal fossa(L)
douleurxx_endroitducorps,douleurxx,M,Avez-vous de la douleur quelque part?,Do you feel pain somewhere?,douleurxx_endroitducorps_@_cuisse_D_,cuisse(D),thigh(R)
